Date	Discharge
01/01/2011	3.4
02/01/2011	3.3
03/01/2011	3.3
04/01/2011	3.3
05/01/2011	3.4
06/01/2011	3.4
07/01/2011	3.5
08/01/2011	3.7
09/01/2011	3.7
10/01/2011	3.5
11/01/2011	3.4
12/01/2011	3.4
13/01/2011	3.4
14/01/2011	3.5
15/01/2011	3.7
16/01/2011	3.8
17/01/2011	3.8
18/01/2011	3.8
19/01/2011	3.8
20/01/2011	3.7
21/01/2011	3.7
22/01/2011	3.8
23/01/2011	3.7
24/01/2011	3.5
25/01/2011	3.4
26/01/2011	3.4
27/01/2011	3.5
28/01/2011	3.5
29/01/2011	3.5
30/01/2011	3.7
31/01/2011	3.8
01/02/2011	3.7
02/02/2011	3.5
03/02/2011	3.4
04/02/2011	3.3
05/02/2011	3.4
06/02/2011	3.5
07/02/2011	3.5
08/02/2011	3.4
09/02/2011	3.3
10/02/2011	3.1
11/02/2011	3.3
12/02/2011	3.3
13/02/2011	3.4
14/02/2011	3.5
15/02/2011	3.7
16/02/2011	3.8
17/02/2011	4
18/02/2011	3.8
19/02/2011	3.8
20/02/2011	4
21/02/2011	4.1
22/02/2011	4
23/02/2011	4
24/02/2011	4
25/02/2011	4.1
26/02/2011	4.1
27/02/2011	4
28/02/2011	4
01/03/2011	4.1
02/03/2011	4.2
03/03/2011	4.4
04/03/2011	4.4
05/03/2011	4.2
06/03/2011	4.2
07/03/2011	4.2
08/03/2011	4.4
09/03/2011	4.2
10/03/2011	4.2
11/03/2011	4.4
12/03/2011	4.4
13/03/2011	4.5
14/03/2011	4.8
15/03/2011	5.4
16/03/2011	5.9
17/03/2011	6.5
18/03/2011	6.5
19/03/2011	6.5
20/03/2011	6.8
21/03/2011	7.4
22/03/2011	7.6
23/03/2011	7.4
24/03/2011	7.1
25/03/2011	7.4
26/03/2011	7.4
27/03/2011	7.4
28/03/2011	7.6
29/03/2011	7.5
30/03/2011	7.4
31/03/2011	8.2
01/04/2011	10.2
02/04/2011	13.6
03/04/2011	18.7
04/04/2011	17.6
05/04/2011	17.6
06/04/2011	22.7
07/04/2011	30.9
08/04/2011	37.4
09/04/2011	42.5
10/04/2011	38.5
11/04/2011	32
12/04/2011	28.3
13/04/2011	26.6
14/04/2011	28.3
15/04/2011	28.2
16/04/2011	25.4
17/04/2011	23.6
18/04/2011	29.2
19/04/2011	46.7
20/04/2011	53.5
21/04/2011	46.7
22/04/2011	50.1
23/04/2011	47
24/04/2011	40.8
25/04/2011	37.9
26/04/2011	36.2
27/04/2011	33.4
28/04/2011	28.6
29/04/2011	26
30/04/2011	26.9
01/05/2011	23.9
02/05/2011	21.3
03/05/2011	20.4
04/05/2011	19.8
05/05/2011	21.3
06/05/2011	21.3
07/05/2011	25.2
08/05/2011	31.7
09/05/2011	41.1
10/05/2011	51.8
11/05/2011	60.6
12/05/2011	65.4
13/05/2011	64.3
14/05/2011	54.1
15/05/2011	51.3
16/05/2011	54.4
17/05/2011	62
18/05/2011	70.8
19/05/2011	77
20/05/2011	80.1
21/05/2011	82.1
22/05/2011	77.3
23/05/2011	71.4
24/05/2011	71.1
25/05/2011	73.3
26/05/2011	75.3
27/05/2011	72.2
28/05/2011	71.1
29/05/2011	73.3
30/05/2011	68.2
31/05/2011	68.8
01/06/2011	77.9
02/06/2011	79.9
03/06/2011	78.2
04/06/2011	82.7
05/06/2011	92.3
06/06/2011	101.4
07/06/2011	109.6
08/06/2011	124
09/06/2011	134.2
10/06/2011	135.1
11/06/2011	127.1
12/06/2011	119.8
13/06/2011	113.3
14/06/2011	109.9
15/06/2011	107.9
16/06/2011	110.7
17/06/2011	115.2
18/06/2011	127.1
19/06/2011	138.5
20/06/2011	137.9
21/06/2011	133.9
22/06/2011	118.9
23/06/2011	114.7
24/06/2011	108.7
25/06/2011	105.1
26/06/2011	104.8
27/06/2011	106.8
28/06/2011	107
29/06/2011	103.9
30/06/2011	103.9
01/07/2011	115.5
02/07/2011	132.5
03/07/2011	133.1
04/07/2011	124
05/07/2011	117.2
06/07/2011	112.4
07/07/2011	109.3
08/07/2011	109.3
09/07/2011	119.8
10/07/2011	136.5
11/07/2011	138.5
12/07/2011	127.7
13/07/2011	123.2
14/07/2011	122
15/07/2011	115
16/07/2011	108.7
17/07/2011	96.3
18/07/2011	88.1
19/07/2011	88.3
20/07/2011	90.3
21/07/2011	92
22/07/2011	83.3
23/07/2011	70.8
24/07/2011	57.8
25/07/2011	49.6
26/07/2011	44.5
27/07/2011	41.9
28/07/2011	40.5
29/07/2011	37.7
30/07/2011	32.8
31/07/2011	29.2
01/08/2011	27.2
02/08/2011	27.6
03/08/2011	30
04/08/2011	29.2
05/08/2011	27.4
06/08/2011	25
07/08/2011	22.5
08/08/2011	20.4
09/08/2011	18.7
10/08/2011	17.4
11/08/2011	15.9
12/08/2011	14.9
13/08/2011	13.8
14/08/2011	13.1
15/08/2011	13.3
16/08/2011	14.2
17/08/2011	15.7
18/08/2011	13.8
19/08/2011	12.5
20/08/2011	11.9
21/08/2011	11.8
22/08/2011	11.4
23/08/2011	10.9
24/08/2011	10.4
25/08/2011	10
26/08/2011	9.7
27/08/2011	9.6
28/08/2011	10.3
29/08/2011	11.8
30/08/2011	11.8
31/08/2011	10.6
01/09/2011	9.5
02/09/2011	8.9
03/09/2011	8.2
04/09/2011	7.7
05/09/2011	7.4
06/09/2011	7.6
07/09/2011	9.2
08/09/2011	10.8
09/09/2011	11.5
10/09/2011	10.2
11/09/2011	8.7
12/09/2011	7.9
13/09/2011	7.4
14/09/2011	7
15/09/2011	7.3
16/09/2011	8.7
