Year	month	day	discharge 	SWE 	MSWE	SD	PA	APA	PAperAve	TmMax	TMMin	TMAve
2011	1	1	0.2	272	138	104	287	166	173%	-15.9	-29.4	-22.5
2011	1	2	0.2	272	140	102	287	167	172%	-7.1	-26.1	-14.9
2011	1	3	0.2	272	142	99	287	168	171%	-3.9	-21.4	-10.7
2011	1	4	0.2	272	143	99	287	169	170%	-4	-21.5	-12.1
2011	1	5	0.2	274	144	99	290	171	170%	-3.5	-14.3	-8.2
2011	1	6	0.2	274	146	97	290	174	167%	-0.2	-15.3	-9.1
2011	1	7	0.2	274	148	97	290	175	166%	-0.3	-14.1	-8
2011	1	8	0.2	274	150	94	290	177	164%	0.8	-12.1	-4.7
2011	1	9	0.2	274	151	97	290	178	163%	-4	-21.2	-10.3
2011	1	10	0.2	274	152	104	290	180	161%	-15.1	-27.8	-21.5
2011	1	11	0.2	274	153	104	290	182	159%	-10.1	-24.3	-17.3
2011	1	12	0.2	277	155	102	292	184	159%	-3.7	-23.5	-12
2011	1	13	0.2	277	155	97	292	186	157%	1.2	-6.4	-3.1
2011	1	14	0.2	277	156	97	292	186	157%	-0.7	-6	-3.5
2011	1	15	0.2	277	157	97	292	187	156%	-0.1	-6.4	-3.6
2011	1	16	0.2	277	158	94	292	187	156%	2.4	-10	-3.1
2011	1	17	0.2	277	159	94	292	188	155%	2.8	-4	-1
2011	1	18	0.2	287	161	104	302	189	160%	-1.6	-7.6	-4.4
2011	1	19	0.2	287	163	102	302	191	158%	-1.5	-16.8	-7.4
2011	1	20	0.2	287	165	119	302	193	156%	-4.7	-23.1	-11.9
2011	1	21	0.2	287	167	112	302	193	156%	-4.3	-17	-8.8
2011	1	22	0.2	287	170	109	302	195	155%	-3.6	-10.3	-7.3
2011	1	23	0.2	287	172	114	302	196	154%	-3.6	-20.2	-10.4
2011	1	24	0.2	287	174	109	302	197	153%	-7.3	-23.4	-13.1
2011	1	25	0.2	292	176	117	305	200	153%	-4.5	-24.1	-13.1
2011	1	26	0.2	297	178	114	307	202	152%	-2.7	-14	-8.7
2011	1	27	0.2	300	180	114	310	203	153%	1.2	-15.7	-8.6
2011	1	28	0.2	305	182	112	315	204	154%	4.8	-15.4	-7.1
2011	1	29	0.2	307	184	112	315	206	153%	3.4	-13.8	-5.5
2011	1	30	0.2	310	187	109	318	208	153%	2.8	-13.5	-5.9
2011	1	31	0.2	310	189	107	318	210	151%	-1.5	-21.6	-11
2011	2	1	0.2	315	192	117	320	211	152%	-21.5	-19.9	-20.7
2011	2	2	0.2	315	195	114	320	213	150%	-20.2	-18.2	-19.2
2011	2	3	0.2	315	198	114	320	214	150%	-7	-18.2	-12.6
2011	2	4	0.2	315	200	112	320	215	149%	-4.4	-21.4	-10.8
2011	2	5	0.2	318	201	114	320	216	148%	-2.4	-12.2	-6.4
2011	2	6	0.2	325	202	124	323	217	149%	-9.1	-21.6	-12.5
2011	2	7	0.2	333	203	135	328	218	150%	-4	-18.1	-9.1
2011	2	8	0.2	340	204	137	333	219	152%	-7.8	-24.4	-16.6
2011	2	9	0.2	343	205	140	335	221	152%	-11.1	-23.3	-17.2
2011	2	10	0.2	343	206	137	335	223	150%	-7	-28.7	-16.2
2011	2	11	0.2	343	207	132	335	225	149%	-2.2	-20.1	-11.6
2011	2	12	0.2	343	209	130	335	228	147%	2.2	-16.3	-8
2011	2	13	0.2	343	211	127	335	230	146%	5.4	-13.1	-4.3
2011	2	14	0.2	343	212	127	335	232	144%	6.8	-13.1	-2.2
2011	2	15	0.2	343	215	122	335	235	143%	7	-12.7	-3.1
2011	2	16	0.2	343	217	122	335	237	141%	5	-10.5	-1.3
2011	2	17	0.2	343	219	119	335	238	141%	0	-10.6	-7.5
2011	2	18	0.2	351	222	132	340	240	142%	0.2	-14.8	-5.9
2011	2	19	0.2	353	224	132	343	242	142%	6.5	-12	-2
2011	2	20	0.2	361	226	137	348	246	141%	-2.6	-11.2	-6.6
2011	2	21	0.2	361	228	135	348	248	140%	-2.9	-17.2	-10.3
2011	2	22	0.2	361	229	135	348	250	139%	-0.7	-20.3	-8.5
2011	2	23	0.2	361	230	132	348	252	138%	0	-14.6	-6.7
2011	2	24	0.2	361	232	130	348	253	138%	-2.7	-9.8	-5.8
2011	2	25	0.2	368	233	135	353	255	138%	-3.4	-7.5	-5.5
2011	2	26	0.2	384	235	152	363	257	141%	-2.3	-5.2	-3.9
2011	2	27	0.2	391	236	157	371	258	144%	1.5	-17.1	-6.4
2011	2	28	0.2	391	238	152	371	260	143%	3.1	-18.2	-6.2
2011	3	1	0.2	391	241	150	371	263	141%	5.7	-14.5	-4.2
2011	3	2	0.2	391	243	147	371	264	141%	5.6	-13.5	-2.3
2011	3	3	0.2	394	245	140	371	266	139%	1.8	-10	-2.4
2011	3	4	0.2	404	247	150	378	267	142%	-1.6	-20.5	-9.7
2011	3	5	0.2	404	250	150	378	268	141%	-0.6	-21.5	-8.9
2011	3	6	0.2	406	253	145	381	272	140%	0.5	-6.8	-3.4
