Monthly Climatic Data for FRASER for years 2005 - 2010													
Station - 53116       	Latitude 	3952	 Longitude	10545	 Elevation	8570							
Monthly mean temperature.													
Year/Month	             Jan    	 Feb     	Mar    	 Apr     	May     	Jun     	Jul    	 Aug    	 Sep     	Oct     	Nov    	Dec	Annual
2005	203	202	247	356	436	504	571	544	490	395	263	150	36.3
2006	139	130	238	382	463	535	587	557	433	354	245	 166I  	35.2
2007	96	197	290	374	439	528	M     	578	494	M      	 M      	 M	
2008	85	191	196	300	414	503	565	544	467	380	292	162	34.2
2009	207	210	267	332	  M    	500	556	529	482	355	273	101	
2010	132	131	261	352	420	531	582	564	496	412	239	222	36.2
													
Monthly mean maximum temperature.													
2005	357	360	398	519	625	686	787	727	690	561	402	275	53
2006	305	323	397	576	652	756	776	741	611	513	412	314	53.1
2007	290	350	456	532	614	745	M     	756	676	M	M	M	
2008	245	324	377	471	582	716	776	735	668	558	433	300	51.5
2009	316	367	439	490	M    	656	759	742	673	499	464	253	
2010	323	300	437	511	583	739	771	752	727	572	382	343	53.7
													
Monthly mean minimum temperature.													
2005	49	44	96	192	246	322	354	361	290	229	124	24	19.4
2006	-27	-63	78	187	274	313	397	372	255	195	77	18I    	17.3
2007	-98	43	124	215	264	311	M    	399	311	M       	M       	M	
2008	-76	58	15	128	246	289	354	352	265	201	150	23	16.7
2009	97	53	94	175	M    	345	354	316	292	210	83	-50	
2010	-59	-37	86	194	257	323	394	375	264	252	96	101	18.7
													
Total monthly precipitation.													
2005	171	52	55	284	102	220	64	266	191	235	222	349	22.11
2006	122	84	135	73	128	0	409	142	120	233	210	229	18.85
2007	236	207	201	247	106	64	 M     	379	303	M       	M       	M	
2008	305	169	229	167	215	58	116	498	193	106	59	262	23.77
2009	198	137	56	297	M     	161	182	136	182	182	79	67	
2010	45	75	35	271	212	195	297	202	46	428	120	146	20.72
													
Total monthly snowfall.													
2005	243	35	91	150	0	18	0	0	0	82	161	442	122.2
2006	271	153	187	75	T	0	0	0	40	230	191	380	152.7
2007	191	303	243	136	10	T     	  M       	0	T     	  M       	M      	 M	
2008	280	401	314	186	50	0	0	0	0	 T      	71	413	171.5
2009	315	174	175	343	 M       	0	0	0	2	133	100	110	
2010	65	110	75	205	120	0	0	0	0	100	265	224	116.4
													
													
													
													
													
													
													
