Year	Month	Tm	TmMax	TmMin	Pm	Sm	TMDH		
2005	1	203	357	49	171	243	279		
2005	2	202	360	44	52	35	224		
2005	3	247	398	96	55	91	279		
2005	4	356	519	192	284	150	300		
2005	5	436	625	246	102	0	341		
2005	6	504	686	322	220	18	360		
2005	7	571	787	354	64	0	387.5		
2005	8	544	727	361	266	0	403		
2005	9	490	690	290	191	0	360		
2005	10	395	561	229	235	82	341		
2005	11	263	402	124	222	161	300		
2005	12	150	275	24	349	442	279		
2006	1	139	305	-27	122	271	279		
2006	2	130	323	-63	84	153	224		
2006	3	238	397	78	135	187	279		
2006	4	382	576	187	73	75	300		
2006	5	463	652	274	128	43	341		
2006	6	535	756	313	0	0	360		
2006	7	587	776	397	409	0	387.5		
2006	8	557	741	372	142	0	403		
2006	9	433	611	255	120	40	360		
2006	10	354	513	195	233	230	341		
2006	11	245	412	77	210	191	300		
2006	12	166	314	18	229	380	279		
2007	1	96	290	-98	236	191	279		
2007	2	197	350	43	207	303	224		
2007	3	290	456	124	201	243	279		
2007	4	374	532	215	247	136	300		
2007	5	439	614	264	106	10	341		
2007	6	528	745	311	64	0	360		
2007	7	554	752	354	123	0	387.5		
2007	8	578	756	399	379	0	403		
2007	9	494	676	311	303	0	360		
2007	10	378	612	297	301	15	341		
2007	11	256	523	187	303	68	300		
2007	12	132	367	11	302	198	279		
2008	1	85	245	-76	305	280	279		
2008	2	191	324	58	169	401	224		
2008	3	196	377	15	229	314	279		
2008	4	300	471	128	167	186	300		
2008	5	414	582	246	215	50	341		
2008	6	503	716	289	58	0	360		
2008	7	565	776	354	116	0	387.5		
2008	8	544	735	352	498	0	403		
2008	9	467	668	265	193	0	360		
2008	10	380	558	201	106	32	341		
2008	11	292	433	150	59	71	300		
2008	12	162	300	23	262	413	279		
2009	1	207	316	97	198	315	279		
2009	2	210	367	53	137	174	224		
2009	3	267	439	94	56	175	279		
2009	4	332	490	175	297	343	300		
2009	5	443	543	234	235	112	341		
2009	6	500	656	345	161	0	360		
2009	7	556	759	354	182	0	387.5		
2009	8	529	742	316	136	0	403		
2009	9	482	673	292	182	2	360		
2009	10	355	499	210	182	133	341		
2009	11	273	464	83	79	100	300		
2009	12	101	253	-50	67	110	279		
2010	1	132	323	-59	45	65	279		
2010	2	131	300	-37	75	110	224		
2010	3	261	437	86	35	75	279		
2010	4	352	511	194	271	205	300		
2010	5	420	583	257	212	120	341		
2010	6	531	739	323	195	0	360		
2010	7	582	771	394	297	0	387.5		
2010	8	564	752	375	202	0	403		
2010	9	496	727	264	46	0	360		
2010	10	412	572	252	428	100	341		
2010	11	239	382	96	120	265	300		
2010	12	222	343	101	146	224	279		
									
